Day,Bernie Sanders: (United States)
2/19/19,100
2/20/19,77
2/21/19,41
2/22/19,29
2/23/19,21
2/24/19,19
2/25/19,15
2/26/19,25
2/27/19,12
2/28/19,9
3/1/19,11
3/2/19,25
3/3/19,21
3/4/19,18
3/5/19,12
3/6/19,9
3/7/19,8
3/8/19,9
3/9/19,11
3/10/19,12
3/11/19,10
3/12/19,9
3/13/19,8
3/14/19,10
3/15/19,12
3/16/19,12
3/17/19,11
3/18/19,10
3/19/19,9
3/20/19,8
3/21/19,7
3/22/19,7
3/23/19,9
3/24/19,10
3/25/19,7
3/26/19,5
3/27/19,5
3/28/19,6
3/29/19,5
3/30/19,5
3/31/19,7
