Category: All categories

Day,Kamala Harris: (United States)
2019-01-03,2
2019-01-04,2
2019-01-05,2
2019-01-06,2
2019-01-07,2
2019-01-08,11
2019-01-09,7
2019-01-10,7
2019-01-11,15
2019-01-12,11
2019-01-13,7
2019-01-14,4
2019-01-15,6
2019-01-16,5
2019-01-17,3
2019-01-18,3
2019-01-19,3
2019-01-20,2
2019-01-21,100
2019-01-22,68
2019-01-23,26
2019-01-24,26
2019-01-25,15
2019-01-26,16
2019-01-27,60
2019-01-28,62
2019-01-29,64
2019-01-30,29
2019-01-31,15
2019-02-01,17
2019-02-02,16
2019-02-03,11
2019-02-04,6
2019-02-05,6
2019-02-06,14
2019-02-07,6
2019-02-08,6
2019-02-09,7
2019-02-10,7
2019-02-11,15
2019-02-12,13
2019-02-13,15
2019-02-14,8
2019-02-15,6
2019-02-16,7
2019-02-17,8
2019-02-18,8
2019-02-19,12
2019-02-20,12
2019-02-21,17
2019-02-22,15
2019-02-23,13
2019-02-24,12
2019-02-25,7
2019-02-26,6
2019-02-27,5
2019-02-28,4
2019-03-01,3
2019-03-02,3
2019-03-03,4
2019-03-04,3
2019-03-05,3
2019-03-06,3
2019-03-07,3
2019-03-08,3
2019-03-09,3
2019-03-10,3
2019-03-11,3
2019-03-12,3
2019-03-13,2
2019-03-14,4
2019-03-15,3
2019-03-16,3
2019-03-17,3
2019-03-18,3
2019-03-19,3
2019-03-20,5
2019-03-21,3
2019-03-22,3
2019-03-23,3
2019-03-24,3
2019-03-25,3
2019-03-26,5
2019-03-27,5
2019-03-28,3
2019-03-29,3
2019-03-30,3
2019-03-31,3
